Industry,"Years of Professional Experience Overall",Employee_Count
" Buyer","11 - 20 years",1
" Veterinary medicine","31 - 40 years",1
""Government Relations"" (Lobbying) "","5-7 years",1
Academia,"2 - 4 years",2
Academia,"1 year or less",1
Academia,"8 - 10 years",1
"Academia ","8 - 10 years",1
"Academia - STEM","2 - 4 years",1
"Academia / Research","11 - 20 years",1
"Academia--cell and molecular biology","5-7 years",1
"Academic Medicine ","8 - 10 years",1
"Academic Press Production","8 - 10 years",1
"Academic publishing","11 - 20 years",2
"Academic Publishing","5-7 years",1
"Academic publishing","2 - 4 years",1
"Academic Publishing","8 - 10 years",1
"Academic publishing ","8 - 10 years",1
"Academic research","11 - 20 years",3
"Academic research","8 - 10 years",1
"Academic research","5-7 years",1
"academic research","2 - 4 years",1
"Academic research (Psychology)","2 - 4 years",1
"Academic research (social science)","2 - 4 years",1
"Academic science","8 - 10 years",2
"Academic Science ","8 - 10 years",1
"Academic Scientific Research","5-7 years",1
"Academic/nonprofit research","1 year or less",1
Accessibility,"8 - 10 years",1
"Accounting, Banking & Finance","11 - 20 years",571
"Accounting, Banking & Finance","8 - 10 years",347
"Accounting, Banking & Finance","5-7 years",300
"Accounting, Banking & Finance","21 - 30 years",256
"Accounting, Banking & Finance","2 - 4 years",197
"Accounting, Banking & Finance","31 - 40 years",70
"Accounting, Banking & Finance","1 year or less",46
"Accounting, Banking & Finance","41 years or more",8
"Accounting, Banking & Finance",Pune,1
"Accounting, Banking & Finance",NewNAYork,1
"Accounting, Banking & Finance","College degree",1
Actuarial,"1 year or less",1
Administration,"5-7 years",1
"Administration ","11 - 20 years",1
"Administration (food service)","11 - 20 years",1
"Administration in MLM","8 - 10 years",1
"Administration, IT","31 - 40 years",1
"Administrative ","8 - 10 years",1
"Administrative Support","11 - 20 years",1
"Administrative Work","8 - 10 years",1
"Adult education","2 - 4 years",1
Aerospace,"11 - 20 years",3
"Aerospace ","8 - 10 years",1
"Aerospace & Defense","11 - 20 years",1
"Aerospace and Defense","11 - 20 years",1
"Aerospace and Defense","1 year or less",1
"Aerospace and Defense Manufacturing","21 - 30 years",1
"Aerospace and Defense/Government Contracting","5-7 years",1
"Aerospace contracting","11 - 20 years",1
"aerospace data","5-7 years",1
"Aerospace Manufacturing","21 - 30 years",1
Aerospace/aviation,"11 - 20 years",1
"Aerospace/Aviation ","8 - 10 years",1
Aerospace/Defense,"2 - 4 years",1
"Affordable Housing Real Estate Development (nonprofit)","11 - 20 years",1
"Agriculture or Forestry","11 - 20 years",48
"Agriculture or Forestry","8 - 10 years",39
"Agriculture or Forestry","2 - 4 years",15
"Agriculture or Forestry","5-7 years",14
"Agriculture or Forestry","21 - 30 years",12
"Agriculture or Forestry","31 - 40 years",5
"Agriculture or Forestry","1 year or less",3
"Agriculture or Forestry","41 years or more",2
"Agriculture/Agriculture Chemical ","8 - 10 years",1
Airline,"11 - 20 years",1
AmeriCorps,"5-7 years",1
"Analytical Chemistry","31 - 40 years",1
"Analytical lab","8 - 10 years",1
Analytics,"21 - 30 years",1
"Animal care","5-7 years",1
"Animal Care","21 - 30 years",1
"Animal Caretaker",U.S.A.,1
"Animal Health","11 - 20 years",1
"Animal health industry","21 - 30 years",1
"Animal Health Product Manufacturing","11 - 20 years",1
"Animal welfare","11 - 20 years",1
Animation,"8 - 10 years",1
Apparel,"21 - 30 years",1
Apparel,"11 - 20 years",1
"Apparel ","8 - 10 years",1
"apparel design/product development ","5-7 years",1
"Apparel manufacture","41 years or more",1
Archaeologist,"31 - 40 years",1
Archaeology,"11 - 20 years",1
"Archaeology / Cultural Resource Management","11 - 20 years",1
"Archaeology/Cultural Resource Manager","11 - 20 years",1
Architect,"11 - 20 years",1
"Architect ","11 - 20 years",1
"Architectural/Land Planning/Civil Engineering","21 - 30 years",1
Architecture,"11 - 20 years",11
architecture,"8 - 10 years",5
Architecture,"2 - 4 years",3
Architecture,"21 - 30 years",2
Architecture,"5-7 years",1
"Architecture ","8 - 10 years",2
"Architecture ","5-7 years",2
"Architecture ","11 - 20 years",1
"Architecture ","2 - 4 years",1
"Architecture / Engineering","21 - 30 years",1
"Architecture & Construction","21 - 30 years",1
"Architecture and engineering consulting and design ","21 - 30 years",1
"Architecture, Engineering, Construction","11 - 20 years",1
Architecture/Construction,"5-7 years",1
Archives,"8 - 10 years",2
Archives,"31 - 40 years",1
Archives,"5-7 years",1
"Archives ","8 - 10 years",1
Archives/Libraries,"5-7 years",1
"Archives/Library Science","5-7 years",1
"Art & Design","11 - 20 years",116
"Art & Design","8 - 10 years",86
"Art & Design","5-7 years",70
"Art & Design","2 - 4 years",52
"Art & Design","21 - 30 years",25
"Art & Design","1 year or less",4
"Art & Design","31 - 40 years",2
"art appraisal","8 - 10 years",1
"Arts Administration ","11 - 20 years",1
"Arts, Culture and Heritage","2 - 4 years",1
Association,"2 - 4 years",1
"association management","8 - 10 years",1
"Association Management ","5-7 years",1
"Auction house","8 - 10 years",1
"Auction House","1 year or less",1
"Auto Mfg.","21 - 30 years",1
"Auto Repair","21 - 30 years",1
"auto repair","11 - 20 years",1
"auto repair","8 - 10 years",1
Automotive,"11 - 20 years",3
Automotive,"21 - 30 years",2
Automotive,"5-7 years",2
Automotive,"8 - 10 years",1
Automotive,"2 - 4 years",1
"Automotive ","5-7 years",1
"Automotive ","11 - 20 years",1
"Automotive finance and insurance","11 - 20 years",1
"Automotive repair","11 - 20 years",2
"Automotive technician","21 - 30 years",1
"Automtive Repair","31 - 40 years",1
Aviation,"11 - 20 years",1
Aviation,"8 - 10 years",1
aviation,"21 - 30 years",1
"awards and engraving","21 - 30 years",1
"B2B Services ","21 - 30 years",1
"Background Screening","11 - 20 years",1
Beauty,"11 - 20 years",1
Beauty,"2 - 4 years",1
"Beauty /CPG ","8 - 10 years",1
"Beauty Manufacturing & Education ","8 - 10 years",1
"Beauty, Cosmetics, Fragrance","11 - 20 years",1
"Beauty/service industry ","21 - 30 years",1
"Beer sales","21 - 30 years",1
"Behavior analysis/mental health","5-7 years",1
"Behavioral Health","21 - 30 years",1
"Behavioral Health","2 - 4 years",1
"Benefits Administration","11 - 20 years",2
Beverage,"5-7 years",1
"Beverage & Spirits","11 - 20 years",1
"Beverage Distribution","11 - 20 years",1
"Beverage Production","11 - 20 years",1
"Big Pharma","21 - 30 years",1
"Bio tech","41 years or more",1
"Bioinformatics ","11 - 20 years",1
"biological research","2 - 4 years",2
"Biological Sciences","2 - 4 years",1
Biologist,"8 - 10 years",1
Biology,"2 - 4 years",1
Biology/Research,"8 - 10 years",1
"biomedical research","8 - 10 years",4
"Biomedical Research","11 - 20 years",2
"Biomedical Research","2 - 4 years",2
"Biomedical Research","21 - 30 years",2
"Biomedical research","5-7 years",2
Biopharma,"21 - 30 years",1
Biopharma,"2 - 4 years",1
Biopharma,"8 - 10 years",1
Biopharma,"11 - 20 years",1
Biopharmaceuticals,"5-7 years",1
"Bioscience Company","11 - 20 years",1
Biotech,"11 - 20 years",15
Biotech,"2 - 4 years",12
Biotech,"5-7 years",8
Biotech,"21 - 30 years",8
Biotech,"8 - 10 years",7
Biotech,"1 year or less",1
"Biotech ","11 - 20 years",1
"Biotech ","5-7 years",1
"Biotech (R&D) ","2 - 4 years",1
"Biotech / life sciences ","21 - 30 years",1
"Biotech / Pharmaceutical Industry","5-7 years",1
"Biotech / Research","8 - 10 years",1
"Biotech industry","31 - 40 years",1
"Biotech manufacturing","21 - 30 years",1
"Biotech pharmaceuticals","31 - 40 years",1
"Biotech R&D","5-7 years",1
"Biotech Research","11 - 20 years",1
"Biotech research ","11 - 20 years",1
"Biotech/Drug Development","8 - 10 years",1
"Biotech/Food Safety","11 - 20 years",1
Biotech/Pharma,"11 - 20 years",4
Biotech/Pharma,"2 - 4 years",2
Biotech/Pharma,"1 year or less",2
Biotech/pharma,"5-7 years",1
Biotech/pharma,"8 - 10 years",1
Biotech/Pharma,"21 - 30 years",1
Biotech/pharmaceuticals,"11 - 20 years",1
Biotech/Pharmaceuticals,"2 - 4 years",1
"Biotech/pharmaceuticals ","11 - 20 years",2
Biotech/software,"5-7 years",1
Biotechnology,"8 - 10 years",5
Biotechnology,"5-7 years",5
Biotechnology,"11 - 20 years",3
Biotechnology,"2 - 4 years",3
"Biotechnology ","11 - 20 years",4
"biotechnology ","41 years or more",1
"Biotechnology ","2 - 4 years",1
"Biotechnology ","8 - 10 years",1
"Biotechnology, Research and Development","11 - 20 years",1
"Biotechnology/Life Sciences","5-7 years",1
Bitech,"11 - 20 years",1
"Book publishing","11 - 20 years",3
"Book Publishing","5-7 years",1
"Book publishing","21 - 30 years",1
"Book Publishing","2 - 4 years",1
"Brain research ","11 - 20 years",1
Brewing,"8 - 10 years",1
"Business or Consulting","11 - 20 years",255
"Business or Consulting","8 - 10 years",157
"Business or Consulting","5-7 years",153
"Business or Consulting","2 - 4 years",139
"Business or Consulting","21 - 30 years",81
"Business or Consulting","1 year or less",34
"Business or Consulting","31 - 40 years",22
"Business or Consulting","41 years or more",2
"Business Process Outsourcing","11 - 20 years",1
"Business Process Outsourcing ","2 - 4 years",1
"Business Services","11 - 20 years",1
"CALL CENTER","21 - 30 years",1
"Call center","11 - 20 years",1
"Cancer research, not for profit","31 - 40 years",1
Cannabis,"5-7 years",2
Cannabis,"11 - 20 years",2
Cannabis,"8 - 10 years",1
"Cannabis compliance","11 - 20 years",1
"Career & Technical Training","11 - 20 years",1
Caregiver,"11 - 20 years",1
"CBD Manufacturing","5-7 years",1
Chaplain,"11 - 20 years",1
Charity,"5-7 years",1
Chemical,"2 - 4 years",1
"Chemical Manufacturing","11 - 20 years",1
"Chemicals ","11 - 20 years",1
"Chemicals/ Materials","5-7 years",1
chemistry,"5-7 years",1
Chemistry,"8 - 10 years",1
Chemistry,"2 - 4 years",1
"Child and Yout Care","2 - 4 years",1
"Child care","11 - 20 years",2
"Child Care Resource and Referral Agency","5-7 years",1
Childcare,"5-7 years",2
Childcare,"11 - 20 years",2
"Childcare ","11 - 20 years",1
"childcare ","5-7 years",1
"Childcare (0-5 so does not come under Primary education)","1 year or less",1
"Children's Book Wholesale","11 - 20 years",1
Church,"8 - 10 years",1
Church,"2 - 4 years",1
"Church ministry","31 - 40 years",1
"Clean Energy (eg. energy efficiency, renewables, etc.)","8 - 10 years",1
Cleaning,"8 - 10 years",1
Clergy,"5-7 years",1
Clergy,"11 - 20 years",1
Clergy,"8 - 10 years",1
Clergy,"2 - 4 years",1
"Clinical & Translational Reserach","21 - 30 years",1
"clinical research","8 - 10 years",3
"clinical research","11 - 20 years",2
"Clinical Research ","2 - 4 years",1
"Clinical Research ","5-7 years",1
"Clinical research ","8 - 10 years",1
"Clinical research and development ","11 - 20 years",1
"Clinical Research Manager - academic institution","8 - 10 years",1
"Clinical trials","11 - 20 years",1
"clinical trials research coordination","21 - 30 years",1
coaching,"21 - 30 years",1
"Coffee - Importing","8 - 10 years",1
"College Athletics","2 - 4 years",1
"Commercial Building Material Distribution","21 - 30 years",1
"Commercial Fisherman","8 - 10 years",1
"Commercial furniture","5-7 years",1
"Commercial Landscaping ","21 - 30 years",1
"Commercial Real Estate","11 - 20 years",2
"Commercial Real Estate","2 - 4 years",1
"Commercial Real Estate","8 - 10 years",1
"Commercial Real Estate","1 year or less",1
"Commercial Real Estate ","11 - 20 years",1
"Commercial Real Estate ","21 - 30 years",1
"Commercial Real Estate - Private Equity","5-7 years",1
"Commercial Real Estate Data and Analytics/Research","11 - 20 years",1
"Commercial real estate tenancy","5-7 years",1
"commodities trading","31 - 40 years",1
"Communication Research","5-7 years",1
Communications,"2 - 4 years",2
Communications,"5-7 years",2
Communications,"8 - 10 years",1
Communications,"11 - 20 years",1
"Communications ","31 - 40 years",1
Communications/publications,"21 - 30 years",1
"Community Foundation","5-7 years",1
"Community Management","21 - 30 years",1
Compliance,"8 - 10 years",2
"Compliance ","11 - 20 years",1
"Computing or Tech","11 - 20 years",1611
"Computing or Tech","8 - 10 years",845
"Computing or Tech","5-7 years",788
"Computing or Tech","21 - 30 years",697
"Computing or Tech","2 - 4 years",512
"Computing or Tech","31 - 40 years",118
"Computing or Tech","1 year or less",83
"Computing or Tech","41 years or more",18
"Computing or Tech","San Francisco",2
"Computing or Tech",NYC,1
"Computing or Tech",NA,1
"Computing or Tech","New York City",1
"Computing or Tech",Seattle,1
"Computing or Tech","Bay Area",1
"Computing/Tech + Higher Ed + Nonprofit","1 year or less",1
Concrete,"11 - 20 years",1
"Concrete Construction","2 - 4 years",1
Conservation,"8 - 10 years",1
Construction,"11 - 20 years",2
Construction,"8 - 10 years",2
Construction,"21 - 30 years",2
Construction,"5-7 years",1
Construction,"2 - 4 years",1
"Construction ","2 - 4 years",2
"Construction ","11 - 20 years",1
"Construction ","8 - 10 years",1
"Construction ","21 - 30 years",1
"Construction / Stone industry","2 - 4 years",1
"Construction Management","1 year or less",1
"Construction, HVAC ","8 - 10 years",1
"Construction, mining, manufacturing","21 - 30 years",1
Consultant,"11 - 20 years",1
Consulting,"11 - 20 years",3
Consulting,"8 - 10 years",2
Consulting,"2 - 4 years",1
Consulting,"21 - 30 years",1
"Consulting ","2 - 4 years",1
"Consulting / Professional Services","5-7 years",1
"Consulting Operations- Big 4","11 - 20 years",1
"Consumer food products ","11 - 20 years",1
"Consumer Good (Toys)","11 - 20 years",1
"Consumer goods","11 - 20 years",5
"Consumer goods","8 - 10 years",1
"Consumer Goods","1 year or less",1
"Consumer Goods Production","5-7 years",1
"Consumer Packaged Goods","11 - 20 years",2
"Consumer packaged goods","21 - 30 years",2
"Consumer Packaged Goods","8 - 10 years",1
"Consumer packaged goods ","8 - 10 years",1
"consumer product design","11 - 20 years",1
"Consumer Product Goods","2 - 4 years",1
"Consumer Product Organization ","11 - 20 years",1
"consumer products","21 - 30 years",1
"Consumer Products design ","11 - 20 years",1
"Consumer Research","8 - 10 years",1
"Consumer/Packaged Goods","5-7 years",1
"Contact Center","11 - 20 years",1
"Content Review - Copyright/DMCA","11 - 20 years",1
"Contract Research","2 - 4 years",1
"Contract research organisation","8 - 10 years",1
"Corporate accounting in death care (funeral & cemetery)","11 - 20 years",1
"Corporate Learning and Development","21 - 30 years",1
"Corporate service management","5-7 years",1
"Corporate sustainability ","2 - 4 years",1
"Corporate Sustainability ","5-7 years",1
"Corporate Training","21 - 30 years",1
"Corporate Travel Industry","31 - 40 years",1
"Cosmetology ","31 - 40 years",1
"Costruction admin","8 - 10 years",1
Counseling,"5-7 years",1
Counselling,"5-7 years",1
CPG,"2 - 4 years",1
"CPG / Retail","5-7 years",1
"Craft Beer Industry ","11 - 20 years",1
"cultural (museums/galleries)","8 - 10 years",1
"Cultural Heritage","8 - 10 years",1
"Cultural Resource Management","21 - 30 years",1
"Cultural Resources Management/Major Univ.","11 - 20 years",1
Culture,"2 - 4 years",1
"Customer Service","5-7 years",3
"Customer service","2 - 4 years",1
"Customer Service","11 - 20 years",1
"Customer service ","21 - 30 years",1
"Customer service/call center","11 - 20 years",1
"Customer service/publishing-adjacent ","5-7 years",1
"Data Analytics","2 - 4 years",1
"Data Breach","8 - 10 years",1
"Data Entry","8 - 10 years",1
"Data/Institutional Research in Higher Education","8 - 10 years",1
"Database subscription services","41 years or more",1
"Daycare for children under 5 years old","8 - 10 years",1
Defense,"11 - 20 years",2
Defense,"8 - 10 years",2
Defense,"2 - 4 years",1
Defense,"21 - 30 years",1
"Defense ","5-7 years",1
"Defense contracting","11 - 20 years",2
"Defense Contracting","5-7 years",1
"Defense Contractor","8 - 10 years",1
"Delivery and installation for commercial machinery","11 - 20 years",1
"Diagnostic Medical Devices","2 - 4 years",1
Digital,"8 - 10 years",1
"digital commerce / ecommerce","5-7 years",1
"Digital Marketing","11 - 20 years",1
"digital marketing within a book publishing company (please reclassify as you see fit)","11 - 20 years",1
"Direct support  professional  in a group  home","31 - 40 years",1
"Disability services ","8 - 10 years",1
Distribution,"11 - 20 years",2
Distribution,"21 - 30 years",1
"Diversity, Equity & Inclusion ","8 - 10 years",1
"DoD Contracting","11 - 20 years",1
"Drug development ","21 - 30 years",1
"E commerce ","11 - 20 years",1
e-comm,"11 - 20 years",1
E-commerce,"2 - 4 years",3
E-commerce,"8 - 10 years",2
"E-commerce ","8 - 10 years",1
e-learning,"2 - 4 years",1
Eap,"8 - 10 years",1
"Early Childhood Education","8 - 10 years",1
"Early childhood education","21 - 30 years",1
"Early Childhood Education","11 - 20 years",1
"Early childhood education (preschool)","31 - 40 years",1
"Early Education","2 - 4 years",1
"Early Education (corporate office)","8 - 10 years",1
"Earth sciences","2 - 4 years",1
"Ecology ","5-7 years",1
Ecommerce,"21 - 30 years",1
"ECommerce ","11 - 20 years",1
"Ecommerce - Technology","2 - 4 years",1
"Ecommerce fraud","21 - 30 years",1
economics,"11 - 20 years",1
"Ed tech","8 - 10 years",1
"Ed Tech","5-7 years",1
"Editor in educational publishing","21 - 30 years",1
Edtech,"5-7 years",2
"Educ tech","31 - 40 years",1
"Education (Early Childhood Education)","11 - 20 years",1
"Education (early childhood)","21 - 30 years",1
"Education (Higher Education)","11 - 20 years",921
"Education (Higher Education)","8 - 10 years",469
"Education (Higher Education)","5-7 years",413
"Education (Higher Education)","21 - 30 years",309
"Education (Higher Education)","2 - 4 years",206
"Education (Higher Education)","31 - 40 years",94
"Education (Higher Education)","1 year or less",31
"Education (Higher Education)","41 years or more",10
"Education (Higher Education)"," so I get ~50k NIS a year in salary. We also have scholarships that are about the same amount as the salary."",1
"Education (Higher Education)",Ames,1
"Education (Higher Education)",Detroit,1
"Education (Higher Education)","a small city",1
"Education (Other)","11 - 20 years",1
"Education (Primary/Secondary)","11 - 20 years",325
"Education (Primary/Secondary)","8 - 10 years",157
"Education (Primary/Secondary)","5-7 years",113
"Education (Primary/Secondary)","21 - 30 years",109
"Education (Primary/Secondary)","2 - 4 years",73
"Education (Primary/Secondary)","31 - 40 years",36
"Education (Primary/Secondary)","1 year or less",17
"Education (Primary/Secondary)","41 years or more",1
"Education (Primary/Secondary)"," since that isn't possible in the current form of my profession."",1
"Education (Primary/Secondary)",Chicago,1
"Education Consulting","11 - 20 years",1
"Education Publishing ","5-7 years",1
"Education research- mix of Edtech and non profits","8 - 10 years",1
"Education service provider","11 - 20 years",1
"Education services (tutoring)","11 - 20 years",1
"Education start-up","2 - 4 years",1
"education writing","2 - 4 years",1
"Education- museum/public outreach ","21 - 30 years",1
"Education: preschool ","11 - 20 years",1
Education/vocational,"21 - 30 years",1
"Educational assessment","11 - 20 years",1
"Educational products","2 - 4 years",1
"educational publishing","21 - 30 years",2
"Educational Publishing","11 - 20 years",1
"Educational publishing / ed tech","11 - 20 years",1
"Educational Research","11 - 20 years",1
"Educational technology","11 - 20 years",2
"Educational Technology - hybrid between book publishing and technology really","8 - 10 years",1
"Emergency Management","11 - 20 years",1
Energy,"11 - 20 years",7
Energy,"8 - 10 years",5
