Industry,"Years of Professional Experience Overall",Employee_Count
Energy,"21 - 30 years",4
"Energy - Oil and Gas","8 - 10 years",1
"Energy (oil & gas & associated products, renewable power, etc)","21 - 30 years",1
"Energy (Oil & Gas)","21 - 30 years",1
"Energy / renewables","11 - 20 years",1
"Energy Sector: Oil & Gas","11 - 20 years",1
"Energy Supplier","11 - 20 years",1
"Energy, Oil & Gas","21 - 30 years",1
"Energy, Oil and Gas","8 - 10 years",1
"Energy: oil & gas","21 - 30 years",1
Energy/oil,"8 - 10 years",1
"Engineering - Mining","8 - 10 years",1
"Engineering and Environmental Consulting","11 - 20 years",1
"Engineering or Manufacturing","11 - 20 years",554
"Engineering or Manufacturing","5-7 years",341
"Engineering or Manufacturing","8 - 10 years",273
"Engineering or Manufacturing","2 - 4 years",238
"Engineering or Manufacturing","21 - 30 years",189
"Engineering or Manufacturing","1 year or less",44
"Engineering or Manufacturing","31 - 40 years",42
"Engineering or Manufacturing","41 years or more",9
"Engineering or Manufacturing",Michigan,1
Entertainment,"11 - 20 years",86
Entertainment,"8 - 10 years",45
Entertainment,"5-7 years",44
Entertainment,"21 - 30 years",38
Entertainment,"2 - 4 years",25
Entertainment,"31 - 40 years",9
Entertainment,"1 year or less",2
Entertainment,"41 years or more",1
Entertainment,"New York City",1
Entertainment,Japan,1
"Entertainment data","1 year or less",1
"Entrepreneur high net worth ","21 - 30 years",1
"Env. Consulting","5-7 years",1
"Enviromental ","8 - 10 years",1
Environment,"8 - 10 years",2
Environment,"1 year or less",1
"Environment - Oil and Gas","8 - 10 years",1
"Environment and sustainability","2 - 4 years",1
"Environment, health, and safety","8 - 10 years",1
Environmental,"2 - 4 years",4
Environmental,"1 year or less",2
environmental,"11 - 20 years",2
Environmental,"31 - 40 years",1
Environmental,"8 - 10 years",1
"Environmental ","2 - 4 years",4
"Environmental ","31 - 40 years",1
"Environmental ","21 - 30 years",1
"Environmental ","8 - 10 years",1
"Environmental compliance","11 - 20 years",1
"Environmental compliance","8 - 10 years",1
"environmental compliance ","1 year or less",1
"environmental compliance/engineering","8 - 10 years",1
"Environmental Consultanting","2 - 4 years",1
"Environmental consulting","5-7 years",5
"Environmental consulting","11 - 20 years",4
"Environmental Consulting","8 - 10 years",3
"Environmental Consulting","1 year or less",2
"Environmental Consulting","21 - 30 years",1
"Environmental Consulting","31 - 40 years",1
"Environmental Consulting ","8 - 10 years",1
"Environmental Health + Pest Control","8 - 10 years",1
"Environmental health and safety","1 year or less",1
"environmental health and safety","2 - 4 years",1
"Environmental health and safety compliance","11 - 20 years",1
"Environmental Planning","8 - 10 years",1
"Environmental regulation","21 - 30 years",1
"Environmental Restoration","21 - 30 years",1
"Environmental Science","8 - 10 years",2
"Environmental Science","5-7 years",1
"Environmental science ","2 - 4 years",1
"Environmental sciences","5-7 years",1
"Environmental Sciences","8 - 10 years",1
"Environmental Services","2 - 4 years",1
"Environmental survey","11 - 20 years",1
"Environmental/Cultural Resource Management","5-7 years",1
"Environmnetal ","5-7 years",1
"ESL Teacher","11 - 20 years",1
"Executive Leadership Servis","21 - 30 years",1
"Executive search","11 - 20 years",1
"Executive Search","8 - 10 years",1
facilities,"5-7 years",1
"Facilities ","5-7 years",1
Faith/spirituality,"2 - 4 years",1
"Family Office","21 - 30 years",1
"Family office ","11 - 20 years",1
Fashion,"2 - 4 years",1
Fashion,"5-7 years",1
"Fashion/e-commerce ","8 - 10 years",1
"Fast casual restaurant ","8 - 10 years",1
"Fast food","1 year or less",1
"Fast Food","2 - 4 years",1
"Federal Contracting/Business Development","8 - 10 years",1
"Federal Government Contracting","11 - 20 years",1
"Film Post-Production","5-7 years",1
Finance,"8 - 10 years",2
Finance,"31 - 40 years",1
Finance,"21 - 30 years",1
Finance,"11 - 20 years",1
"Finance ","11 - 20 years",1
"Finance/Investment Management but in legal/compliance, so back-office","5-7 years",1
Fintech,"5-7 years",2
Fintech,"21 - 30 years",1
"FinTech/Payment Processing","11 - 20 years",1
"Fire protection","8 - 10 years",1
Fitness,"21 - 30 years",2
Fitness,"11 - 20 years",2
Fitness,"8 - 10 years",1
"Fitness & Entertainment","21 - 30 years",1
FMCG,"8 - 10 years",1
"FMCG development ","11 - 20 years",1
Food,"5-7 years",2
Food,"8 - 10 years",1
Food,"11 - 20 years",1
"Food & Beverage","21 - 30 years",2
"Food & Beverage","8 - 10 years",1
"Food & Beverage production","21 - 30 years",1
"Food & Beverages","8 - 10 years",1
"Food & Nutrition","8 - 10 years",1
"Food and Beverage","11 - 20 years",1
"Food and Beverage ","8 - 10 years",1
"Food and Drink ","5-7 years",1
"Food and Flavor","21 - 30 years",1
"Food demos","31 - 40 years",1
"Food Distribution","5-7 years",1
"Food distribution","31 - 40 years",1
"Food Industry","8 - 10 years",1
"Food Industry","5-7 years",1
"Food industry ","5-7 years",1
"Food Manufacture","21 - 30 years",1
"Food manufacturers ","21 - 30 years",1
"Food manufacturing","11 - 20 years",2
"Food manufacturing","5-7 years",1
"Food Manufacturing","8 - 10 years",1
"Food manufacturing ","21 - 30 years",1
"Food processing","11 - 20 years",1
"Food Processing","8 - 10 years",1
"Food processing and packaging","31 - 40 years",1
"Food production","8 - 10 years",1
"Food production","21 - 30 years",1
"Food Production/Processing","21 - 30 years",1
"Food service","2 - 4 years",3
"Food service","1 year or less",2
"Food Service","5-7 years",1
"Food service ","8 - 10 years",1
"Food Service ","5-7 years",1
"Food service ","2 - 4 years",1
"Food Service --- Baking","11 - 20 years",1
"Food/Beverage Manufacturing- Quality/Laboratory","11 - 20 years",1
"Food/Quick Service Restaurant (QSR)","11 - 20 years",1
Foodservice,"11 - 20 years",1
"For profit education","11 - 20 years",1
Forensics,"11 - 20 years",1
"Forklift operator warehouse","5-7 years",1
"Freelance Journalism","2 - 4 years",1
"Freelance/Self-Employed Consultant ","11 - 20 years",1
"Funding Intermediary ","11 - 20 years",1
Fundraising,"21 - 30 years",1
Fundraising,"5-7 years",1
Fundraising,"2 - 4 years",1
"Fundraising ","8 - 10 years",1
"Fundraising for a university ","11 - 20 years",1
"Fundraising in Higher Education; nonclinical, nonacademic","21 - 30 years",1
Funeral,"21 - 30 years",1
Funeral,"11 - 20 years",1
"Funeral Service ","8 - 10 years",1
"Funeral Service ","11 - 20 years",1
"funeral services","8 - 10 years",1
"Funeral services","11 - 20 years",1
Gambling,"11 - 20 years",1
"Game development","11 - 20 years",1
"Game Development","5-7 years",1
"Games development","8 - 10 years",1
Gaming,"2 - 4 years",2
"Gaming (Gambling)","8 - 10 years",1
"Gas & Oil","21 - 30 years",1
Geologist,"11 - 20 years",1
Geospatial,"11 - 20 years",1
"Global Health Consulting","21 - 30 years",1
"Global Mobility","8 - 10 years",1
"Government ","8 - 10 years",1
"Government Affairs/Lobbying","11 - 20 years",1
"Government Affairs/Lobbying","21 - 30 years",1
"Government and Public Administration","11 - 20 years",701
"Government and Public Administration","8 - 10 years",341
"Government and Public Administration","5-7 years",296
"Government and Public Administration","21 - 30 years",269
"Government and Public Administration","2 - 4 years",166
"Government and Public Administration","31 - 40 years",81
"Government and Public Administration","1 year or less",21
"Government and Public Administration","41 years or more",7
"Government and Public Administration","A major Canadian city",1
"Government and Public Administration"," ""danger",1
"Government contract ","11 - 20 years",1
"Government Contracting","8 - 10 years",3
"Government Contracting","21 - 30 years",1
"Government Contracting","11 - 20 years",1
"Government contracting (data analytics and program evaluations)","5-7 years",1
"Government Contracting R&D","11 - 20 years",1
"Government contractor","21 - 30 years",2
"Government Contractor","31 - 40 years",1
"Government Contractor","11 - 20 years",1
"Government contractor","5-7 years",1
"Government contractor ","8 - 10 years",1
"Government Contractor (R&D)","5-7 years",1
"government contractor, international development","11 - 20 years",1
"Government Relation","8 - 10 years",1
"Government Relations","8 - 10 years",2
"Government Relations","2 - 4 years",1
"Government relations ","21 - 30 years",1
"Government Relations/Lobbying","2 - 4 years",1
"Government Research","5-7 years",1
"Government- Scientist","11 - 20 years",1
"Govt contractor - not direct govt but they pay my company who in turn pays me","11 - 20 years",1
"Govt contractor - not directly govt but they pay me","11 - 20 years",1
"Govtech Software as a Service","2 - 4 years",1
"Graduate assistant and also events ","8 - 10 years",1
"Graduate Student","8 - 10 years",1
"Grantwriting Consultants","11 - 20 years",1
"Grocery delivery","2 - 4 years",1
"Grocery Distribution","11 - 20 years",2
Gyms,"11 - 20 years",1
"Hardware Manufacturing","5-7 years",1
"Haz/Ind/Rad Waste Management ","21 - 30 years",1
"Health and fitness","11 - 20 years",1
"Health and Safety","11 - 20 years",1
"Health care","11 - 20 years",652
"Health care","8 - 10 years",354
"Health care","5-7 years",283
"Health care","21 - 30 years",268
"Health care","2 - 4 years",189
"Health care","31 - 40 years",76
"Health care","1 year or less",53
"Health care","41 years or more",11
"Health care",Cambridge,1
"Health care"," admin work",1
"Health Insurance ","21 - 30 years",1
"Health Research","5-7 years",1
"Healthcare Information Technology","11 - 20 years",1
"Healthcare IT","11 - 20 years",1
"Healthcare IT","21 - 30 years",1
"Healthcare technology ","8 - 10 years",1
Heritage,"11 - 20 years",1
"Heritage ","2 - 4 years",1
"Heritage/Public History","5-7 years",1
"High end outdoor furniture manufacturer ","11 - 20 years",1
"Higher education fundraising","11 - 20 years",1
"Higher education/Libraries","8 - 10 years",1
"Historic Preservation","11 - 20 years",1
Homemaker,"5-7 years",1
Horticulture,"11 - 20 years",1
"Horticulture (Admin)","21 - 30 years",1
Hospital,"5-7 years",1
"Hospitality & Events","11 - 20 years",92
"Hospitality & Events","8 - 10 years",59
"Hospitality & Events","5-7 years",43
"Hospitality & Events","21 - 30 years",39
"Hospitality & Events","2 - 4 years",12
"Hospitality & Events","1 year or less",9
"Hospitality & Events","31 - 40 years",7
"Hospitality & Events","41 years or more",1
"Household Services","11 - 20 years",1
Housekeeper/cook,"11 - 20 years",1
HRO,"11 - 20 years",1
"Human Capital Management","2 - 4 years",1
"Human Resources","8 - 10 years",1
"Human Resources ","11 - 20 years",2
"Human services","8 - 10 years",1
"Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)","11 - 20 years",1
"I have two jobs. Marketing / Business ","2 - 4 years",1
"I work at a property tax management company. Not sure where this fits in. Consulting maybe?","2 - 4 years",1
"I work for Indeed.com","21 - 30 years",1
"I work in the finance function of a large global conglomerate","5-7 years",1
"I'm currently a student and don't have a job","2 - 4 years",1
Immigration,"8 - 10 years",1
"In-House Marketing","5-7 years",1
"individual & family services","11 - 20 years",1
"Industrial Cleaning & Non Hazardous Transport","11 - 20 years",1
"Industrial Hygiene","8 - 10 years",1
"Industrial Supply","21 - 30 years",1
"Information ","21 - 30 years",1
"Information Management/Archives","2 - 4 years",1
"Information sciences","11 - 20 years",1
"Information services","2 - 4 years",1
"Information services (libraries)","11 - 20 years",1
"Information services (library)","11 - 20 years",1
"Information Services/Libraries","11 - 20 years",1
"Information Technology","41 years or more",1
"Information Technology ","21 - 30 years",1
"Information technology (IT)","5-7 years",1
"Instructional Design and Training","21 - 30 years",1
"Instructional Design, Aviation Industry","8 - 10 years",1
"Instructional Designer","11 - 20 years",1
Insurance,"11 - 20 years",174
Insurance,"8 - 10 years",98
Insurance,"21 - 30 years",95
Insurance,"5-7 years",83
Insurance,"2 - 4 years",41
Insurance,"31 - 40 years",26
Insurance,"1 year or less",9
Insurance,Remote,1
Insurance,"41 years or more",1
Intelligence,"8 - 10 years",1
"Intergovernmental organization","11 - 20 years",1
"Interior Design (commercial)","2 - 4 years",1
"Interior Design & Architecture","21 - 30 years",1
"Interior landscaping ","8 - 10 years",1
"Internal Communications","11 - 20 years",1
"International defence","11 - 20 years",1
"International development","8 - 10 years",2
"International Development","5-7 years",1
"International development","31 - 40 years",1
"International Development","2 - 4 years",1
"International Development","11 - 20 years",1
"International development ","2 - 4 years",1
"International development (multilateral donor)","8 - 10 years",1
"International organisations","11 - 20 years",1
"International organization (UN)","8 - 10 years",1
Internet,"11 - 20 years",2
Interpretation,"8 - 10 years",1
Investing,"11 - 20 years",1
Ipr,"2 - 4 years",1
IT,"11 - 20 years",2
IT,"8 - 10 years",1
IT,"5-7 years",1
IT,"2 - 4 years",1
"IT MSP","21 - 30 years",1
"IT Security","8 - 10 years",1
"It security ","11 - 20 years",1
Janitorial,"5-7 years",1
Journalism,"8 - 10 years",2
Journalism,"11 - 20 years",1
Journalism,"5-7 years",1
"Lab Science (Biotech)","11 - 20 years",1
Labor,"5-7 years",1
"labor union","21 - 30 years",3
"Labor Union","31 - 40 years",1
"Labor Union","5-7 years",1
"Laboratory research","5-7 years",1
"labour/professional organization","8 - 10 years",1
"Landed Estate","11 - 20 years",1
"Landscape Architecture","8 - 10 years",1
"Landscape Contracting","8 - 10 years",1
Landscaping,"2 - 4 years",1
"Landscaping/Tree Work","5-7 years",1
"Language Services","5-7 years",1
"Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.","5-7 years",1
"Large University Administration","8 - 10 years",1
"Laundry and Rental","11 - 20 years",1
Law,"11 - 20 years",347
Law,"8 - 10 years",222
Law,"5-7 years",221
Law,"2 - 4 years",124
Law,"21 - 30 years",105
Law,"31 - 40 years",43
Law,"1 year or less",21
Law,"41 years or more",8
Law,"San Francisco",1
Law,"Washington DC",1
"Law Enforcement & Security","11 - 20 years",18
"Law Enforcement & Security","8 - 10 years",8
"Law Enforcement & Security","2 - 4 years",6
"Law Enforcement & Security","21 - 30 years",5
"Law Enforcement & Security","5-7 years",3
"Law Enforcement & Security","1 year or less",2
"Law Library","21 - 30 years",1
"Learning & Development","8 - 10 years",1
"Learning and Development","8 - 10 years",1
"Legal services","2 - 4 years",1
"Legal Services","11 - 20 years",1
"Leisure, Sport & Tourism","11 - 20 years",28
"Leisure, Sport & Tourism","21 - 30 years",26
"Leisure, Sport & Tourism","5-7 years",14
"Leisure, Sport & Tourism","8 - 10 years",13
"Leisure, Sport & Tourism","2 - 4 years",12
"Leisure, Sport & Tourism","1 year or less",4
"Leisure, Sport & Tourism","31 - 40 years",1
Librarian,"8 - 10 years",2
Librarian,"11 - 20 years",1
"Librarian ","11 - 20 years",1
"Librarian ","5-7 years",1
"Librarian and Assistant Manager of a library","21 - 30 years",1
"Librarian in legal setting","8 - 10 years",1
"librarian--Contractor for NASA","31 - 40 years",1
Libraries,"8 - 10 years",16
Libraries,"11 - 20 years",13
Libraries,"5-7 years",10
Libraries,"2 - 4 years",4
Libraries,"21 - 30 years",4
Libraries,"31 - 40 years",2
Libraries,Alaska,1
Libraries,"1 year or less",1
"Libraries ","8 - 10 years",1
"Libraries ","5-7 years",1
"LIBRARIES ","2 - 4 years",1
"Libraries (Medical)","11 - 20 years",1
"Libraries (Public)","11 - 20 years",1
"Libraries (public)","8 - 10 years",1
"Libraries / Archives / Information","5-7 years",1
"Libraries & Archives","11 - 20 years",1
"Libraries & Archives","2 - 4 years",1
"Libraries and Archives","21 - 30 years",1
"Libraries and Archives","5-7 years",1
"Libraries and Archives","2 - 4 years",1
"Libraries and Archives (Academic)","11 - 20 years",1
Libraries/Archives,"2 - 4 years",1
Libraries/Museums/Archives,"8 - 10 years",1
Library,"11 - 20 years",22
Library,"21 - 30 years",9
Library,"8 - 10 years",9
Library,"5-7 years",7
Library,"2 - 4 years",4
library,"31 - 40 years",3
Library,"1 year or less",1
"Library ","21 - 30 years",2
"Library ","5-7 years",2
"Library ","11 - 20 years",1
"Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs)","8 - 10 years",1
"Library (university)","5-7 years",1
"Library and Information Science","11 - 20 years",1
"Library and Information Services","11 - 20 years",1
"Library at a University ","11 - 20 years",1
"Library Page (Public county library)","2 - 4 years",1
"Library science / part-time work/study","1 year or less",1
"Library Tech for a school system","11 - 20 years",1
Library--public,"11 - 20 years",1
Library/Archive,"5-7 years",1
"Library/Archive/Research Center","21 - 30 years",1
Library/archives,"8 - 10 years",2
"Library/Information managment","2 - 4 years",1
"Life science capability development","8 - 10 years",1
"life sciences","11 - 20 years",3
"Life Sciences","5-7 years",1
"Life Sciences","8 - 10 years",1
"Life Sciences ","11 - 20 years",1
"Life Sciences ","5-7 years",1
"Life sciences (not in academia)","11 - 20 years",1
Literature,"11 - 20 years",1
Lobbying,"8 - 10 years",1
"Lobbying and consulting","5-7 years",1
Logistics,"11 - 20 years",1
"Low-Voltage Equipment","11 - 20 years",1
"Luxury Fashion","8 - 10 years",1
Maintenance,"11 - 20 years",1
"Management Consulting","11 - 20 years",1
"Management Consulting","2 - 4 years",1
Manufacturing,"21 - 30 years",10
Manufacturing,"11 - 20 years",10
Manufacturing,"8 - 10 years",6
manufacturing,"31 - 40 years",3
manufacturing,"41 years or more",3
Manufacturing,"5-7 years",2
"Manufacturing ","11 - 20 years",5
"Manufacturing ","21 - 30 years",5
"Manufacturing ","8 - 10 years",3
"Manufacturing ","2 - 4 years",1
"Manufacturing : corporate admin support","8 - 10 years",1
"Manufacturing (medical devices)","11 - 20 years",1
"Manufacturing (personal care)","11 - 20 years",1
"Manufacturing (pharmaceuticals) ","5-7 years",1
"Manufacturing and distributing","11 - 20 years",1
"manufacturing security systems","21 - 30 years",1
"Manufacturing, Chemical","41 years or more",1
"Manufacturing/Consumer Packaged Goods","5-7 years",1
Manufacturing/Wholesale,"8 - 10 years",1
Maritime,"5-7 years",1
"Market research","2 - 4 years",4
"Market research","5-7 years",4
"Market Research","11 - 20 years",4
"market research","21 - 30 years",1
"Market Research ","2 - 4 years",1
"Marketing at a Non Profit","5-7 years",1
"Marketing technology","11 - 20 years",1
"Marketing, Advertising & PR","11 - 20 years",345
"Marketing, Advertising & PR","5-7 years",262
"Marketing, Advertising & PR","8 - 10 years",249
"Marketing, Advertising & PR","2 - 4 years",145
"Marketing, Advertising & PR","21 - 30 years",94
"Marketing, Advertising & PR","31 - 40 years",16
"Marketing, Advertising & PR","1 year or less",7
"Marketing, Advertising & PR","41 years or more",2
MedComms,"5-7 years",1
"Media & Digital","11 - 20 years",255
"Media & Digital","5-7 years",156
"Media & Digital","8 - 10 years",149
"Media & Digital","21 - 30 years",103
"Media & Digital","2 - 4 years",80
"Media & Digital","31 - 40 years",17
"Media & Digital","1 year or less",6
"Media & Digital","41 years or more",3
"Media & Digital","New York",1
"Medica education","21 - 30 years",1
"Medical Communications","8 - 10 years",1
"Medical communications","5-7 years",1
"Medical Device","11 - 20 years",1
"Medical Device","5-7 years",1
