Industry,Gender,"Highest Level of Education Completed",Avg_Salary
"Supply Chain",Woman,"College degree",33325
"Property or Construction",Man,"Master's degree",33227.055555555555
Nonprofits,Man,"Some college",33148.9
"Interior landscaping ",Non-binary,"Some college",33000
Food,Woman,"College degree",33000
Veterinary,Woman,"College degree",32804.75
"Commercial Real Estate",Woman,"College degree",32754.4
"Medical Technology",Woman,"College degree",32545
Science,Woman,"College degree",32532.5
"Food production",Woman,"College degree",32530
"Health care","Other or prefer not to answer","Master's degree",32516.2
"Property or Construction",Man,"College degree",32335.5625
"Leisure, Sport & Tourism",Woman,"Master's degree",32274.4375
"Animal Care",Woman,"College degree",32244.5
"Environmental Consulting",Woman,"Master's degree",32151.25
"Health care",Woman,"Master's degree",32089.86046511628
"Computing or Tech",Woman,"Master's degree",32011.425727411945
"Academia - STEM",Woman,"College degree",32000
"Marketing, Advertising & PR",Non-binary,"Professional degree (MD, JD, etc.)",32000
"Media & Digital",Man,"Master's degree",31894.458333333332
Insurance,Man,PhD,31787.14285714286
"Business or Consulting",Woman,PhD,31753.190476190477
"Computing or Tech",Woman,"Some college",31738.14024390244
"Computing or Tech",Woman,"College degree",31349.01937716263
"Marketing, Advertising & PR",Woman,"Professional degree (MD, JD, etc.)",31280
"Leisure, Sport & Tourism",Woman,"High School",31200
"Veterinary ",Woman,"High School",31200
"Fast food","Other or prefer not to answer","High School",31200
"Accounting, Banking & Finance","Other or prefer not to answer","College degree",31193.333333333332
"Utilities & Telecommunications",Man,"College degree",31047.425531914894
Retail,Woman,"Master's degree",31038.63829787234
"Utilities & Telecommunications",Woman,PhD,30835.25
Entertainment,Woman,PhD,30823.75
"Marketing, Advertising & PR",Man,"Master's degree",30780.363636363636
"Accounting, Banking & Finance","Other or prefer not to answer","Master's degree",30636.571428571428
"Utilities & Telecommunications",Woman,"Master's degree",30626.584615384614
"Health care",Man,"College degree",30602.408450704224
"Education (Primary/Secondary)",Man,"Some college",30457.666666666668
Entertainment,Woman,"College degree",30288.12389380531
Pharmaceuticals,Woman,"College degree",30126.6
"Computing or Tech",Non-binary,"Master's degree",30094
"Delivery and installation for commercial machinery",Man,"Some college",30000
"Administration ",Woman,"College degree",30000
"Medical Interpreter -(Spanish)",Woman,"Master's degree",30000
Plumbing,Man,"High School",30000
Plumbing,Man,NA,30000
"Recruitment or HR",Man,"College degree",29979.933333333334
"Aerospace and Defense",Woman,"College degree",29799
"Accounting, Banking & Finance",Woman,NA,29714.666666666668
"Utilities & Telecommunications",Non-binary,"High School",29661
"Education (Higher Education)","Other or prefer not to answer","College degree",29650.625
Pharmaceutical,Woman,"College degree",29575.625
"Research science",Woman,PhD,29267.5
"Art & Design",Woman,"Master's degree",29231.285714285714
manufacturing,Woman,"Master's degree",29225
"Public library ",Woman,"Master's degree",29153
"Fast Food",Woman,"College degree",29120
Retail,nil,"High School",29120
"Restaurant ",Man,"High School",29120
Insurance,Woman,"Master's degree",29105.66304347826
Biology,Man,"Some college",29000
"Agriculture or Forestry",Woman,PhD,28778.7
Nonprofits,Man,PhD,28772.714285714286
Aviation,Man,"High School",28700
"Transport or Logistics",Man,"Some college",28627
Biotechnology,Woman,"College degree",28624.85714285714
"Concrete Construction",Man,"Some college",28600
"Engineering or Manufacturing",Woman,"College degree",28090.437596302003
"Education (Primary/Secondary)",Woman,"Master's degree",28076.530120481926
"Transport or Logistics","Other or prefer not to answer","College degree",28065
"Media & Digital",Non-binary,"Master's degree",28041.6
"Public Policy",Woman,"College degree",28025
"Art & Design","Other or prefer not to answer","High School",28000
"Accounting, Banking & Finance",Woman,"Master's degree",27960.794366197184
"Recruitment or HR",Woman,"Some college",27785
Entertainment,Non-binary,"College degree",27776.14285714286
"Engineering or Manufacturing",Woman,"Master's degree",27717.20879120879
Retail,nil,NA,27600
"Agriculture or Forestry",Woman,"Master's degree",27441
"Media & Digital",Woman,"College degree",27374.048
"Law Enforcement & Security",Woman,"Master's degree",27358.333333333332
"Computing or Tech",nil,"College degree",27304.666666666668
"Property or Construction",Woman,"Professional degree (MD, JD, etc.)",27210
"Media & Digital",Man,"High School",27200.166666666668
Nonprofits,Woman,PhD,27167.301587301587
nil,Woman,"Master's degree",27158.416666666668
"Environment and sustainability",Woman,"Master's degree",27000
"Transport or Logistics",Woman,"Master's degree",26989.355555555554
"Computing or Tech",Woman,PhD,26969.433333333334
"Leisure, Sport & Tourism",Woman,"Some college",26848
"Transport or Logistics",Woman,NA,26540
"Library ",Woman,"Master's degree",26478
"Computing or Tech",Non-binary,"Some college",26472.909090909092
"Law Enforcement & Security",Non-binary,"Some college",26325
"Government and Public Administration",Man,"Master's degree",26243.245454545453
"Manufacturing ",Woman,"College degree",26231.833333333332
"Engineering or Manufacturing",Non-binary,"Some college",26183.666666666668
nil,Woman,"College degree",26066.137931034482
"Hospitality & Events",Man,"High School",26027.166666666668
"Education (Higher Education)",Man,PhD,26000.16129032258
"Public library ",Woman,"College degree",26000
"Commercial Fisherman",Man,"Some college",26000
"Media & Digital",Woman,"High School",25999.625
"Hospitality & Events",Man,"Some college",25958.25
"Hospitality & Events",Woman,"College degree",25869.32283464567
"Agriculture or Forestry",Woman,"Some college",25850
"Business or Consulting",Woman,"Master's degree",25846.37238493724
Law,Woman,"High School",25746.571428571428
"Art & Design",Man,"College degree",25705.682926829268
"Business or Consulting",Woman,"College degree",25605.308383233532
"Engineering or Manufacturing",Woman,"Professional degree (MD, JD, etc.)",25589.5
"Market Research",Woman,"College degree",25530.75
"Computing or Tech",Non-binary,"College degree",25527.94318181818
Academia,Woman,PhD,25400
Science,Woman,"Master's degree",25368.333333333332
"Business or Consulting",Woman,"Some college",25259.027777777777
"Government and Public Administration",Woman,"Professional degree (MD, JD, etc.)",25196.2125
"Media & Digital",Woman,"Master's degree",25143.81879194631
Law,Man,NA,25092.333333333332
"Philanthropy ",Woman,"Master's degree",25068.666666666668
"Social Work",Man,"College degree",25031
"Pet care/grooming","Other or prefer not to answer","Some college",25000
"Marketing, Advertising & PR",Woman,"Master's degree",24820.823529411766
Biotech,Woman,PhD,24742.35714285714
"Recruitment or HR",Woman,"College degree",24549.827838827838
Libraries,Woman,"College degree",24014.5
"Graduate assistant and also events ",Woman,"Master's degree",24000
"Marketing, Advertising & PR",Man,"Some college",23973.81818181818
Manufacturing,Woman,"College degree",23884.809523809523
Architecture,Woman,"Professional degree (MD, JD, etc.)",23739.333333333332
nil,Woman,NA,23513.5
translation,Woman,"Master's degree",23382
"Research ",Woman,"College degree",23273
Pharmaceutical,Woman,"Master's degree",23101.333333333332
"Agriculture or Forestry",Man,"Some college",23071.5
"Biomedical Research",Woman,"College degree",23043.25
"Food service",Non-binary,"College degree",22880
Retail,Woman,"College degree",22869.86274509804
"Health care",Non-binary,"Master's degree",22853.7
Automotive,Woman,"College degree",22822.5
Translation,"Other or prefer not to answer","Master's degree",22800
"Marketing, Advertising & PR",Woman,"College degree",22756.52011922504
Entertainment,Woman,"High School",22707.333333333332
"Transport or Logistics",Man,"College degree",22649
Entertainment,Man,"College degree",22583.333333333332
Law,Man,"Some college",22575.666666666668
Insurance,Non-binary,"Master's degree",22526
Sales,Woman,"College degree",22400.3046875
Nonprofits,Man,"College degree",22373.486725663715
"Recruitment or HR",Woman,"Master's degree",22178.463157894737
Probiotics,Man,"Professional degree (MD, JD, etc.)",22000
"Science ",Woman,"Master's degree",22000
"Marketing, Advertising & PR",Man,"College degree",21922.868686868685
"Environmental Consulting",Woman,"College degree",21882.5
Law,Non-binary,"Master's degree",21789.666666666668
Nonprofits,"Other or prefer not to answer","Master's degree",21682
Sales,Woman,NA,21668
"Health care",Non-binary,"College degree",21657.2
"Hospitality & Events",Woman,"Master's degree",21626.571428571428
"Government and Public Administration",Man,"College degree",21536.63953488372
"Hospitality & Events",Man,"College degree",21489.68181818182
"Education (Primary/Secondary)",Woman,PhD,21486.076923076922
Nonprofits,Woman,NA,21447.1
"Engineering or Manufacturing",Non-binary,"Master's degree",21412.666666666668
"Education (Primary/Secondary)",Non-binary,"Master's degree",21293.25
"Property or Construction",Woman,"Master's degree",21259.38888888889
library,Non-binary,"Master's degree",21042.666666666668
"Pharmaceutical Research",Woman,"College degree",21031.5
Insurance,Woman,"College degree",20998
"Media & Digital",Woman,"Some college",20828.80769230769
"Transport or Logistics",Woman,"College degree",20815.982905982906
"Property or Construction",Woman,"College degree",20797.07738095238
E-commerce,Woman,"Master's degree",20629.333333333332
"Agriculture or Forestry",Woman,"College degree",20559.660714285714
Librarian,Woman,"Master's degree",20383
"Government and Public Administration",Woman,"Master's degree",20197.51682368775
"Computing or Tech",Non-binary,PhD,20120
"Social Work",Woman,"College degree",20117.260869565216
Software,Woman,"College degree",20097.666666666668
"Food and Beverage",Man,"Master's degree",20000
"Education (Higher Education)",Woman,"Professional degree (MD, JD, etc.)",19975.736842105263
Retail,Man,"College degree",19878.266666666666
"Social Work",Woman,"Master's degree",19818.02380952381
"Childcare (0-5 so does not come under Primary education)",Woman,"College degree",19760
"Book publishing",Woman,"College degree",19708.333333333332
"Science research",Woman,PhD,19706.666666666668
"Accounting, Banking & Finance",Man,"High School",19653.666666666668
Nonprofits,Man,"Master's degree",19565.238805970148
"Warehousing ",Man,"Some college",19500
architecture,Woman,"College degree",19473.5
Retail,Non-binary,"College degree",19300.714285714286
"Education (Higher Education)",Woman,PhD,19290.234718826407
Pharmaceuticals,Woman,PhD,19260.833333333332
"Media & Digital",Non-binary,"College degree",19126.3125
Nonprofits,Woman,"Master's degree",19059.860619469026
"Architecture ",Woman,"College degree",19053.333333333332
Zoo,Woman,"College degree",19040
"Recruitment or HR",Woman,"High School",19037.8
"Utilities & Telecommunications",Woman,"Some college",18962.60606060606
Nonprofits,Woman,"Professional degree (MD, JD, etc.)",18869.08
Libraries,Woman,"Master's degree",18858.20512820513
Nonprofits,nil,NA,18795.5
"Market research",Woman,"Master's degree",18690.714285714286
"Utilities & Telecommunications",Man,"High School",18624.777777777777
"Property or Construction",Man,"High School",18612
Retail,Man,"High School",18540.333333333332
"Computing or Tech",nil,NA,18461.875
"Government and Public Administration",Woman,"College degree",18461.678832116788
Sales,Woman,"Some college",18446.4
Sales,Woman,PhD,18386.666666666668
"Government and Public Administration",Man,PhD,18270.25
"Education (Primary/Secondary)",Woman,"Professional degree (MD, JD, etc.)",18163.65
Library,Man,"Master's degree",18128.5
Library,Woman,"Master's degree",18078.647058823528
Science,Man,PhD,18074.333333333332
"Recruitment or HR",Man,"Master's degree",17940.14285714286
"Health care",Man,"Some college",17925.884615384617
"Media & Digital",Woman,NA,17897.666666666668
"Utilities & Telecommunications",Man,"Some college",17888.4375
"Education (Higher Education)",Woman,"Master's degree",17870.960199004974
"Book Publishing",Woman,"Master's degree",17862.333333333332
"Leisure, Sport & Tourism",Man,"Some college",17694.666666666668
"Government and Public Administration",Woman,"Some college",17637.303797468354
"Accounting, Banking & Finance",Man,NA,17542.5
Insurance,Man,"Master's degree",17530.458333333332
"Accounting, Banking & Finance",Woman,"Some college",17503.585185185184
Charity,Woman,"Some college",17400
Retail,Non-binary,"Master's degree",17355.333333333332
"Transport or Logistics",Non-binary,"College degree",17228.6
"Marketing, Advertising & PR",Non-binary,"College degree",17203.23076923077
"Engineering or Manufacturing",Woman,"Some college",17154.65306122449
Research,Woman,"College degree",17134.9
"Libraries and Archives",Woman,"Master's degree",16948.666666666668
Nonprofits,Woman,"College degree",16766.85639412998
"Education (Higher Education)",Man,"High School",16708.166666666668
"Recruitment or HR",Woman,"Professional degree (MD, JD, etc.)",16676.8
"Computing or Tech","Other or prefer not to answer","Master's degree",16615.35714285714
"Business or Consulting",nil,"Master's degree",16560.5
"Hospitality & Events",Woman,"High School",16497.6
"Business or Consulting",Non-binary,"College degree",16491.571428571428
Retail,Man,"Some college",16481.136363636364
"Health care",Woman,"High School",16474.738095238095
Biotechnology,Woman,PhD,16472.4
"Government and Public Administration","Other or prefer not to answer","College degree",16284.25
"Media & Digital",Woman,"Professional degree (MD, JD, etc.)",16207.777777777777
Insurance,Woman,"Some college",16144.35593220339
"Art & Design",Woman,"College degree",16064.439153439154
Sales,Man,"High School",16042.2
"Art & Design",Non-binary,"College degree",16040.42857142857
Automotive,Man,"Master's degree",16035.5
"Education (Higher Education)",Non-binary,"Some college",16030
Law,Woman,"College degree",15779.639130434784
"Agriculture or Forestry",Man,"College degree",15702.307692307691
"Marketing, Advertising & PR",Woman,"Some college",15655.71794871795
Sales,Non-binary,"Some college",15625
"Education (Higher Education)","Other or prefer not to answer","Master's degree",15385.142857142857
"Hospitality & Events",Woman,"Some college",15360.263157894737
"Public Libraries",Woman,"Master's degree",15272.1
"Education (Higher Education)",Non-binary,PhD,15264.444444444445
"Accounting, Banking & Finance",Man,"Some college",15192.79411764706
"Government and Public Administration",Non-binary,"College degree",15103.411764705883
Restaurant,Man,"Some college",15080
"Education (Higher Education)",Man,"College degree",15011.765957446809
"Accounting, Banking & Finance",TRUE,Man,15000
Culture,Woman,"Master's degree",15000
Law,Non-binary,"College degree",14833.8
"Scientific research",Woman,PhD,14804.42857142857
Entertainment,Woman,"Some college",14790.538461538461
Retail,Non-binary,"Some college",14720.777777777777
Law,Woman,"Some college",14547.891304347826
"Government and Public Administration",Man,"Professional degree (MD, JD, etc.)",14528.214285714286
"Leisure, Sport & Tourism",Man,"Master's degree",14418.5
"Public Library",Woman,"College degree",14410.333333333334
"Health care",Woman,"Some college",14313.162790697674
"Social Work",Non-binary,"Master's degree",14182.57142857143
Retail,Woman,"High School",14158.214285714286
"Marketing, Advertising & PR","Other or prefer not to answer","College degree",14097.8
"Education (Higher Education)",Man,"Master's degree",13976.857142857143
Insurance,Woman,"High School",13925.764705882353
"Art & Design",Non-binary,"Some college",13913
"Education (Higher Education)",Non-binary,"Master's degree",13907.707317073171
"Education (Higher Education)",Woman,"College degree",13839.565965583173
"Education (Higher Education)",Woman,"Some college",13829.702702702703
"Marketing, Advertising & PR",nil,"College degree",13800.25
Nonprofits,Woman,"Some college",13718.081081081082
Insurance,Woman,"Professional degree (MD, JD, etc.)",13528.625
"Government and Public Administration",Non-binary,"Master's degree",13383.2
"Property or Construction",Woman,"Some college",13354.836734693878
Retail,Woman,"Some college",13217.15
"Customer Service",Woman,"College degree",13183
Publishing,Woman,"College degree",13106.444444444445
"Engineering or Manufacturing",Man,"Professional degree (MD, JD, etc.)",13077.666666666666
Retired,Woman,"College degree",13000
"Education (Primary/Secondary)",Woman,NA,12736.166666666666
"Education (Primary/Secondary)",nil,"Master's degree",12658
Entertainment,Man,"High School",12630
"Leisure, Sport & Tourism",Woman,"College degree",12599.754385964912
Communications,Woman,"College degree",12598.25
Nonprofits,Non-binary,"College degree",12576.727272727272
"Construction ",Man,"College degree",12540
Nonprofits,nil,"College degree",12104.8
"Accounting, Banking & Finance",Woman,"High School",11974.425
Insurance,Woman,PhD,11951.375
"Media & Digital","Other or prefer not to answer","College degree",11821.375
"Marketing, Advertising & PR",Woman,"High School",11813.75
"Social Work",Man,"Master's degree",11704
"Property or Construction",Woman,"High School",11586.137931034482
"Engineering or Manufacturing",Woman,"High School",11488.416666666666
"Law Enforcement & Security",Man,"College degree",11307.25
Retail,"Other or prefer not to answer","College degree",11197.285714285714
"Education (Primary/Secondary)",Woman,"College degree",11017.371900826447
Law,Woman,PhD,10990.764705882353
"Business or Consulting",Man,"High School",10963.333333333334
Fitness,Woman,"College degree",10939.2
"Government and Public Administration",Woman,NA,10765.857142857143
"Media & Digital",Woman,PhD,10584
"Property or Construction",Man,"Some college",10545.9
"Government and Public Administration",Woman,PhD,10457.914634146342
"Accounting, Banking & Finance",Non-binary,"Some college",10425
"Education (Higher Education)",nil,PhD,10404.833333333334
Insurance,Non-binary,"College degree",10092.333333333334
"Engineering or Manufacturing",Woman,NA,10032.666666666666
"Undergrad student",Man,"High School",10000
"public library",Woman,"Master's degree",9711.735294117647
"Recruitment or HR",Man,"High School",9674
"Business or Consulting",Man,"Professional degree (MD, JD, etc.)",9609.166666666666
"Social Work",Woman,"Some college",9496.666666666666
student,Man,"Some college",9360
Sales,Non-binary,"College degree",9275.75
"Accounting, Banking & Finance",Non-binary,"College degree",8878.642857142857
"Recruitment or HR",Man,"Some college",8560.6
"Education (Primary/Secondary)",Woman,"High School",8459.8
"Art & Design",Woman,"Some college",8377.57142857143
"Social Work",Woman,"High School",8363.333333333334
Entertainment,Man,"Some college",8247.875
Law,Non-binary,"Some college",8157.2
"Scientific Research",Woman,"College degree",8148.75
"Education (Primary/Secondary)",Man,"College degree",8021.36
"Health care",Non-binary,"High School",8000
"Education (Higher Education)",nil,"Master's degree",7548.5
Nonprofits,Non-binary,"Some college",7321.571428571428
"Utilities & Telecommunications",Woman,"High School",6875.571428571428
Retail,Non-binary,"High School",6519.25
Politics,Woman,"College degree",6491.285714285715
publishing,Woman,"Master's degree",6394.882352941177
"Law Enforcement & Security",Woman,"College degree",6311.304347826087
"Accounting, Banking & Finance",Non-binary,"Master's degree",6284.5
"Real Estate",Woman,"College degree",6141.8
"Government and Public Administration",Man,"Some college",6030.4
"Education (Higher Education)",Man,"Some college",6007.7692307692305
Research,Woman,PhD,5801.571428571428
"Education (Higher Education)",Non-binary,"College degree",5651
"Education (Primary/Secondary)",Woman,"Some college",5146.736842105263
"Leisure, Sport & Tourism",Man,"College degree",5145.285714285715
"Education (Higher Education)",Woman,"High School",4845.2
Law,Man,"College degree",4737.866666666667
"Scientific research",Woman,"Master's degree",4608
Retail,Woman,"Professional degree (MD, JD, etc.)",4593.142857142857
Research,Woman,"Master's degree",4517.636363636364
"Government and Public Administration",Woman,"High School",4431.958333333333
Nonprofits,Non-binary,"Master's degree",4203.419354838709
"Government and Public Administration","Other or prefer not to answer","Master's degree",3648.8571428571427
Research,Man,PhD,3561.25
"Education (Higher Education)",nil,NA,3505.75
Nonprofits,Woman,"High School",3326.1428571428573
"Obligatory Military service",Man,"College degree",2975
"Video Games",Woman,"College degree",2410
"Graduate Student",Man,"Master's degree",2350
Interpretation,Woman,"Master's degree",905
"International development ",Woman,NA,845
"Computing or Tech",TRUE,Woman,840
Oil,Man,"College degree",689
Nonprofits,Man,NA,592.3333333333334
"Biotech (R&D) ",Woman,PhD,556
"Agriculture or Forestry",Non-binary,PhD,500
"Agriculture or Forestry",Non-binary,"Some college",484
"Medical research",Man,PhD,483
"Food & Beverage",Woman,"Master's degree",450
"Recruitment or HR","Other or prefer not to answer","College degree",402
"Commercial Building Material Distribution",Man,"Some college",400
Law,"Professional degree (MD, JD, etc.)","8 - 10 years",340
Sports,Man,"College degree",300
"Computing or Tech",nil,"High School",295
Energy,Man,PhD,265
Pharmaceutical,Man,PhD,260
Geologist,Woman,PhD,260
"Health care",nil,NA,256
"Energy (oil & gas & associated products, renewable power, etc)",Woman,"Master's degree",253
"Computing or Tech",nil,PhD,245
"Computing or Tech",Non-binary,"High School",232.5
Automotive,Woman,PhD,229
Biotech,Man,"Some college",225
"Computing or Tech",PhD,"2 - 4 years",225
Biotech/pharmaceuticals,Woman,"Some college",222
"Big Pharma",Woman,PhD,220
"Health care",Non-binary,PhD,220
"Marketing, Advertising & PR","Other or prefer not to answer","Master's degree",218.5
"Biotech industry",nil,"Master's degree",215
"Leisure, Sport & Tourism",Woman,"Professional degree (MD, JD, etc.)",215
"Education (Primary/Secondary)",Man,"High School",210
"Education (Higher Education)",Jerusalem,NA,210
"Accounting, Banking & Finance",Man,PhD,205.66666666666666
Consulting,Man,"Master's degree",200
"Computing or Tech","College degree","8 - 10 years",200
"Clean Energy (eg. energy efficiency, renewables, etc.)",Man,"Master's degree",200
Finance,Man,"Master's degree",200
"Pharmaceutical R&D",Woman,"Master's degree",199
"Biotech / life sciences ",Woman,"College degree",196
"strategy consulting",Woman,"Master's degree",195
"Computing or Tech",TRUE,Man,195
Pharmaceuticals/Biotechnology,Woman,"Professional degree (MD, JD, etc.)",194
Technical/Cybersecurity,Woman,"Master's degree",190
Software/programming,Woman,"Some college",190
"Trade Association",Woman,PhD,189
"pharma / medical device design and manufacturing",Woman,"Master's degree",188
Energy,Man,"Professional degree (MD, JD, etc.)",185
"Pharmaceutical ",Woman,PhD,185
"Marketing, Advertising & PR",Man,PhD,185
restoration,Woman,"College degree",184
"Real World Evidence (data for pharma research)",Man,"Master's degree",181
"Management Consulting",Woman,"College degree",180
"Management Consulting",Woman,NA,180
Software,Man,"College degree",180
"Scientific Research",Man,"Master's degree",180
Consulting,Woman,"Master's degree",177.5
Pharma/biotech,Woman,PhD,175
Entertainment,"Other or prefer not to answer","Professional degree (MD, JD, etc.)",175
"CPG / Retail",Woman,"Master's degree",175
Defense,Woman,"College degree",172
"International organisations",Woman,PhD,170
"Renewable Energy ",Woman,"College degree",170
"Utilities & Telecommunications",Man,"Professional degree (MD, JD, etc.)",168
Pharma/biotechnology,Man,PhD,168
"Health care",nil,"Master's degree",162.5
Analytics,Woman,"Master's degree",162
Biotech,Man,PhD,161
Law,"Other or prefer not to answer",PhD,161
Pharma,Man,"Master's degree",161
Law,"Professional degree (MD, JD, etc.)","2 - 4 years",160
"Saas company/software",Woman,"College degree",160
Tech,Woman,"Some college",160
"Biotech / Pharmaceutical Industry",Woman,"Master's degree",160
Pharmaceutical/Biotech,Woman,"Professional degree (MD, JD, etc.)",160
"Pharmaceuticals ",Man,"College degree",160
R&D,Woman,"Master's degree",160
"not-for-profit health research consulting",Man,PhD,160
Pharmacuticals,Woman,PhD,160
"Engineering or Manufacturing",nil,PhD,160
"Business or Consulting","Other or prefer not to answer","Professional degree (MD, JD, etc.)",157.5
"Biotech/pharmaceuticals ",Woman,PhD,156
"Biotechnology ",Woman,"College degree",155.5
"Real Estate Development",Woman,"Master's degree",155
Aerospace,Man,"Master's degree",155
"Energy - Oil and Gas",Woman,"Master's degree",150
Strategy,Woman,"College degree",150
"Computing or Tech","Other or prefer not to answer","High School",148.33333333333334
"Drug development ",Man,"Master's degree",147
"consumer products",Woman,"Some college",147
"Travel ",Woman,"Master's degree",145
"Computing or Tech","College degree","11 - 20 years",145
"Software Development",Woman,"College degree",145
"Supply Chain!",Woman,"College degree",144
"Affordable Housing Real Estate Development (nonprofit)",Woman,"Master's degree",144
"Consumer goods",Woman,"Master's degree",142.5
"Oil and gas",Man,PhD,142
"Oil and Gas",Man,"Master's degree",142
Biotech/Pharma,Woman,"Master's degree",141
"Agriculture or Forestry",Man,"High School",140
"Computing or Tech","Other or prefer not to answer",NA,140
Gaming,Non-binary,"College degree",140
"Education research- mix of Edtech and non profits",Woman,PhD,140
"Global Health Consulting",Woman,"Master's degree",140
"Computing or Tech","Master's degree","5-7 years",139
Biotech/pharma,Woman,PhD,138.4
economics,Woman,PhD,138
"Healthcare IT",Woman,"College degree",135
"Information ",Woman,"College degree",135
"STEM research",Woman,PhD,135
"I have two jobs. Marketing / Business ",Woman,"College degree",135
"government contractor, international development",Woman,"Master's degree",135
"Oil and Gas",Woman,"Master's degree",134.75
"Product Management",Woman,PhD,134
"User Experience (UX) Research",Woman,"Master's degree",134
"Consumer Packaged Goods",Woman,PhD,134
"Medical Technology",Woman,"Master's degree",133
Energy,Man,"Master's degree",132
"Health care",Non-binary,"Professional degree (MD, JD, etc.)",131
"Science Research, government",Woman,PhD,131
"Beauty /CPG ",Woman,"Master's degree",131
"Transport or Logistics",Woman,"Professional degree (MD, JD, etc.)",130
